aggregate,key,count,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity
layer_head,0/21,46,0.9803335239057955,0.9542401432991028,0.998100996017456
layer_head,0/22,46,0.9665971411311108,0.9432287812232971,0.976941704750061
layer_head,0/23,46,0.9565751280473627,0.8989928960800171,0.9741806387901306
layer_head,0/3,46,0.8898741978666057,0.6904067397117615,0.9981414675712585
layer_head,0/4,46,0.9033379723196444,0.7001139521598816,0.9998690485954285
layer_head,0/5,46,0.9177986707376398,0.7111191153526306,0.9967775344848633
layer_head,0/6,46,0.9546697722828906,0.8907521367073059,0.9912701845169067
layer_head,0/7,46,0.979216456413269,0.9146307706832886,0.997157633304596
layer_head,0/8,46,0.9631939037986423,0.8929325342178345,0.9978925585746765
layer_head,0/9,46,0.9096150165018828,0.8324822783470154,0.9976128339767456
layer_head,1/0,46,0.7553681899671969,0.5547502636909485,0.9081594347953796
layer_head,1/1,46,0.8354181867578755,0.6087279319763184,0.971562922000885
layer_head,1/10,46,0.6494498764691146,0.3966648578643799,0.9586414098739624
layer_head,1/11,46,0.5783867460230122,0.5268622636795044,0.7479968667030334
layer_head,1/12,46,0.7293366647284963,0.5633556246757507,0.9122529625892639
layer_head,1/13,46,0.7471814764582593,0.5956662893295288,0.9654856324195862
layer_head,1/14,46,0.768637706404147,0.6381120681762695,0.9451163411140442
layer_head,1/15,46,0.9549297612646351,0.891781210899353,0.9855635762214661
layer_head,1/16,46,0.8650431270184724,0.7048385739326477,0.9338020086288452
layer_head,1/17,46,0.9352258599322775,0.6954234838485718,0.98935866355896
layer_head,1/18,46,0.7587953844796056,0.6361100077629089,0.9128078818321228
layer_head,1/19,46,0.7731738569943801,0.5905629992485046,0.947187602519989
layer_head,1/2,46,0.8422120006188102,0.7928289771080017,0.8754327297210693
layer_head,1/20,46,0.8177455689596094,0.7364988923072815,0.9287735223770142
layer_head,1/21,46,0.8264055407565573,0.6701323986053467,0.9288098216056824
layer_head,1/22,46,0.7618549077407174,0.6659798622131348,0.981766939163208
layer_head,1/23,46,0.7814328191073044,0.676692545413971,0.9240683913230896
layer_head,1/3,46,0.675412434598674,0.5461191534996033,0.9874811172485352
layer_head,1/4,46,0.7083495648010917,0.593812882900238,0.9625189304351807
layer_head,1/5,46,0.6365129766256913,0.5630459785461426,0.9668141603469849
layer_head,1/6,46,0.8060665221317954,0.6791845560073853,0.895514965057373
layer_head,1/7,46,0.8332015936789305,0.7286071181297302,0.896365761756897
layer_head,1/8,46,0.8570839529452117,0.7625134587287903,0.9244892001152039
layer_head,1/9,46,0.6735674052134805,0.5033570528030396,0.8873822689056396
layer_head,10/0,46,0.5748182996783567,-0.03493676334619522,0.7308534979820251
layer_head,10/1,46,0.659387084129064,0.1994778960943222,0.8005486130714417
layer_head,10/10,46,0.6239669808874959,0.361529141664505,0.7899338006973267
layer_head,10/11,46,0.638554815850828,0.039807774126529694,0.9127941727638245
layer_head,10/12,46,0.5886086679428167,-0.028085773810744286,0.7266440987586975
layer_head,10/13,46,0.60146126392014,-0.042850710451602936,0.7293865084648132
layer_head,10/14,46,0.6030942810618359,0.14535540342330933,0.7663221955299377
layer_head,10/15,46,0.6277778660473616,0.20602485537528992,0.7816418409347534
layer_head,10/16,46,0.6406387001599955,0.10970108956098557,0.9215245246887207
layer_head,10/17,46,0.6581482171364452,0.1880292147397995,0.8245756030082703
layer_head,10/18,46,0.6355363878866901,0.16493819653987885,0.7785263061523438
layer_head,10/19,46,0.6548099145293236,0.18687550723552704,0.7787782549858093
layer_head,10/2,46,0.7016500934310581,0.5449131727218628,0.7782649397850037
layer_head,10/20,46,0.5067227664201156,0.229728564620018,0.7163320779800415
layer_head,10/21,46,0.5717805857243745,0.1935538351535797,0.6986898183822632
layer_head,10/22,46,0.5756800369076107,0.37356212735176086,0.6686885952949524
layer_head,10/23,46,0.5576345185222833,-0.032415639609098434,0.6930714845657349
layer_head,10/3,46,0.5391398517657882,-0.13459905982017517,0.7281131744384766
layer_head,10/4,46,0.5355711413304443,-0.021501202136278152,0.703690230846405
layer_head,10/5,46,0.5883233041866965,0.07951109111309052,0.7327954769134521
layer_head,10/6,46,0.6087792101113693,-0.17623208463191986,0.7177203893661499
layer_head,10/7,46,0.611859121400377,0.06774421036243439,0.7389200329780579
layer_head,10/8,46,0.5876412302579569,0.03432738780975342,0.6883078217506409
layer_head,10/9,46,0.7301744067150614,0.5697165131568909,0.8446074724197388
layer_head,11/0,46,0.5295656070761059,0.3808416724205017,0.6393631100654602
layer_head,11/1,46,0.6423554264980814,0.28461331129074097,0.7622174024581909
layer_head,11/10,46,0.5419129641807597,0.14599597454071045,0.6776443123817444
layer_head,11/11,46,0.5407580746256787,0.1777970939874649,0.6570141315460205
layer_head,11/12,46,0.5770082397933077,-0.11559882760047913,0.8934240341186523
layer_head,11/13,46,0.5373867092573125,0.06438036262989044,0.7438179850578308
layer_head,11/14,46,0.6254180828514306,0.1870499700307846,0.8740569949150085
layer_head,11/15,46,0.5034449582352586,-0.03880425915122032,0.6567920446395874
layer_head,11/16,46,0.5194238894821509,0.0197000689804554,0.7193159461021423
layer_head,11/17,46,0.6360475613695123,-0.22057940065860748,0.9834107756614685
layer_head,11/18,46,0.45976418961325416,0.04384499415755272,0.6367021203041077
layer_head,11/19,46,0.37807733047267666,-0.024829238653182983,0.6631975173950195
layer_head,11/2,46,0.6210786356874134,0.25244301557540894,0.7591984868049622
layer_head,11/20,46,0.3232965278641685,-0.05896390974521637,0.5710301399230957
layer_head,11/21,46,0.5526867942965549,-0.17374077439308167,0.8676512837409973
layer_head,11/22,46,0.5227370754532192,-0.2083696722984314,0.6669686436653137
layer_head,11/23,46,0.43073291566384875,-0.04286568984389305,0.6774455904960632
layer_head,11/3,46,0.5011632568810297,0.1926494836807251,0.7322698831558228
layer_head,11/4,46,0.4297767320404882,0.18149760365486145,0.5869030952453613
layer_head,11/5,46,0.5342356711626053,0.30093738436698914,0.6910717487335205
layer_head,11/6,46,0.5631545250830443,0.1507214605808258,0.7141864895820618
layer_head,11/7,46,0.5155674643490625,0.19860981404781342,0.7047183513641357
layer_head,11/8,46,0.5700569055650545,0.2680220901966095,0.7045154571533203
layer_head,11/9,46,0.5773765228526748,0.013837922364473343,0.741474986076355
layer_head,12/0,46,0.7084584819233936,0.36765509843826294,0.7818347811698914
layer_head,12/1,46,0.6417880304481672,0.34348052740097046,0.7823060154914856
layer_head,12/10,46,0.4624435591470936,0.05496779456734657,0.7021967172622681
layer_head,12/11,46,0.4568000721704701,0.03188011422753334,0.7462431192398071
layer_head,12/12,46,0.6899828373090081,0.2941325604915619,0.7854890823364258
layer_head,12/13,46,0.6825637707243795,0.3876495361328125,0.7931859493255615
layer_head,12/14,46,0.7379379709777625,0.1774490922689438,0.7969363927841187
layer_head,12/15,46,0.4433866119741098,0.0530947707593441,0.7801744341850281
layer_head,12/16,46,0.3346584292695574,-0.052142832428216934,0.7808093428611755
layer_head,12/17,46,0.5544229599687717,-0.04467175155878067,0.6464424729347229
layer_head,12/18,46,0.5759746723038994,0.05268792435526848,0.6893301606178284
layer_head,12/19,46,0.47706415342248004,-0.29972055554389954,0.6497889161109924
layer_head,12/2,46,0.6380888728991799,0.24281951785087585,0.7496172785758972
layer_head,12/20,46,0.5373014082787964,-0.002905102912336588,0.7915600538253784
layer_head,12/21,46,0.527788676969383,0.09542634338140488,0.697845458984375
layer_head,12/22,46,0.6462074952483501,-0.09750636667013168,0.9536854028701782
layer_head,12/23,46,0.5442147948171782,0.36507540941238403,0.6331241726875305
layer_head,12/3,46,0.45818486971699673,-0.10991756618022919,0.6328140497207642
layer_head,12/4,46,0.424131881121708,-0.08652389794588089,0.554044246673584
layer_head,12/5,46,0.4935801766164925,0.07707226276397705,0.6438312530517578
layer_head,12/6,46,0.5550358220934868,0.151205912232399,0.7221217155456543
layer_head,12/7,46,0.5635006013123885,0.3786313235759735,0.7305455803871155
layer_head,12/8,46,0.6330132338663806,0.18010582029819489,0.7578139305114746
layer_head,12/9,46,0.46425304691428726,0.21649442613124847,0.6664986610412598
layer_head,13/0,46,0.5444319452280584,0.18502698838710785,0.6614209413528442
layer_head,13/1,46,0.5432577748661456,0.2519150674343109,0.7662665843963623
layer_head,13/10,46,0.4320746776850327,0.20854753255844116,0.5849319696426392
layer_head,13/11,46,0.45279758646274393,0.01612131856381893,0.8309879899024963
layer_head,13/12,46,0.7347406216937563,0.2112303525209427,0.8396965861320496
layer_head,13/13,46,0.6593520388655041,-0.25409868359565735,0.8926250338554382
layer_head,13/14,46,0.7778927359891974,0.5461729168891907,0.9124281406402588
layer_head,13/15,46,0.6006499987257563,-0.08447892218828201,0.7579594254493713
layer_head,13/16,46,0.49965536205664923,0.10009346902370453,0.7195967435836792
layer_head,13/17,46,0.5804307363603426,-0.0870552510023117,0.7225490808486938
layer_head,13/18,46,0.4342568189553592,0.218793585896492,0.6047442555427551
layer_head,13/19,46,0.4510781152740769,0.21246026456356049,0.5296962857246399
layer_head,13/2,46,0.5733275157601937,0.22475752234458923,0.9474555850028992
layer_head,13/20,46,0.47520583349725476,0.28985586762428284,0.6034847497940063
layer_head,13/21,46,0.6126026964705923,-0.01599225401878357,0.7377749085426331
layer_head,13/22,46,0.5677771231402522,0.26513704657554626,0.7408625483512878
layer_head,13/23,46,0.5662730535411317,0.09873273223638535,0.7469013929367065
layer_head,13/3,46,0.43085996336911037,0.028348833322525024,0.6239342093467712
layer_head,13/4,46,0.42974152577959973,0.13487014174461365,0.5761432647705078
layer_head,13/5,46,0.4160308292054612,0.0926998183131218,0.5602817535400391
layer_head,13/6,46,0.7189207077026367,0.5130234360694885,0.8088020086288452
layer_head,13/7,46,0.657317809112694,0.1388087421655655,0.7910535335540771
